contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,download_time
AAL250815P00006000,2025-08-11 15:49:36+00:00,6.0,0.01,0.0,0.34,0.0,0.0,1.0,327,10.375003515625002,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00007000,2025-08-13 13:45:29+00:00,7.0,0.01,0.0,0.01,0.0,0.0,3.0,325,4.7500040624999995,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00008000,2025-08-11 14:07:45+00:00,8.0,0.01,0.0,0.01,0.0,0.0,1.0,1898,3.750000625,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00009000,2025-08-11 13:41:16+00:00,9.0,0.01,0.0,0.01,0.0,0.0,4.0,24959,2.8750028125,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00009500,2025-08-08 19:21:07+00:00,9.5,0.01,0.0,0.02,0.0,0.0,33.0,91,2.750003125,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00010000,2025-08-13 19:43:59+00:00,10.0,0.01,0.0,0.01,0.0,0.0,12.0,25756,2.1250046874999997,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00010500,2025-08-14 14:11:41+00:00,10.5,0.01,0.0,0.01,0.0,0.0,25.0,3022,1.75000125,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00011000,2025-08-14 18:25:09+00:00,11.0,0.01,0.0,0.01,0.0,0.0,94.0,38786,1.3750031249999999,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00011500,2025-08-14 18:53:03+00:00,11.5,0.01,0.0,0.01,0.0,0.0,1107.0,15159,1.000005,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00012000,2025-08-14 19:53:40+00:00,12.0,0.01,0.0,0.01,0.0,0.0,550.0,25345,0.6875031250000001,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00012500,2025-08-14 19:59:37+00:00,12.5,0.03,0.03,0.04,0.0,0.0,3270.0,8870,0.5312546875,False,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00013000,2025-08-14 19:57:21+00:00,13.0,0.25,0.22,0.25,0.09,56.25,1975.0,5668,0.5312546875,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00013500,2025-08-14 18:29:21+00:00,13.5,0.74,0.67,0.71,0.28,60.869564,123.0,176,0.6250037500000001,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00014000,2025-08-14 18:20:27+00:00,14.0,1.24,1.16,1.21,0.26999998,27.835049,74.0,295,0.8437515624999999,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00014500,2025-08-14 14:52:03+00:00,14.5,1.75,1.66,1.71,0.16999996,10.759491,6.0,11,1.125004375,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00015000,2025-08-14 19:26:18+00:00,15.0,2.26,2.16,2.25,0.23000002,11.33005,7.0,124,1.78125109375,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00015500,2025-08-14 18:24:16+00:00,15.5,2.72,2.67,2.71,0.35000014,14.76794,7.0,6,1.78125109375,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00016000,2025-08-14 19:26:18+00:00,16.0,3.2,3.15,3.25,-0.029999971,-0.9287917,2.0,245,2.2500043749999996,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00017000,2025-08-14 19:14:53+00:00,17.0,4.24,4.15,4.25,0.2999997,7.614206,5.0,209,2.750003125,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00018000,2025-08-11 15:50:00+00:00,18.0,6.3,5.15,5.25,0.0,0.0,10.0,10,3.1875020312499998,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00019000,2025-08-12 18:37:09+00:00,19.0,6.24,6.15,6.25,0.0,0.0,20.0,0,3.6250009375000003,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00020000,2025-08-12 18:34:29+00:00,20.0,7.23,7.15,7.25,0.0,0.0,20.0,2,3.968750078125,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00021000,2025-07-24 13:32:14+00:00,21.0,9.55,8.15,8.25,0.0,0.0,1.0,3,4.375004531249999,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00023000,2025-08-12 17:47:03+00:00,23.0,10.24,10.15,10.3,0.0,0.0,10.0,0,5.62500296875,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00024000,2025-08-13 13:48:31+00:00,24.0,11.1,11.15,11.3,0.0,0.0,20.0,10,5.9687525390625,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00025000,2025-08-12 19:27:08+00:00,25.0,12.12,12.15,12.35,0.0,0.0,20.0,0,6.7500015625000005,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00030000,2025-01-07 15:11:27+00:00,30.0,12.41,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
AAL250815P00035000,2025-07-15 15:17:01+00:00,35.0,22.75,22.15,22.25,0.0,0.0,,0,7.87500015625,True,REGULAR,USD,PUT,2025-08-15,2025-08-15 02:54:33.912978
